StudentID,LabID,GroupID,DayID,PretestScore,PosttestScore,Gain
1,7,Control,M,60,60,0
2,7,Control,M,60,60,0
3,7,Control,M,60,60,0
4,7,Control,M,40,60,20
5,7,Control,M,60,80,20
6,7,Control,M,80,80,0
7,7,Control,M,60,60,0
8,7,Control,M,80,80,0
9,7,Control,M,60,60,0
10,7,Control,M,60,80,20
11,7,Experimental,W,40,20,-20
12,7,Experimental,W,80,80,0
13,7,Experimental,W,60,60,0
14,7,Experimental,W,80,80,0
15,7,Experimental,W,60,60,0
16,7,Experimental,W,40,20,-20
17,7,Experimental,W,60,40,-20
18,7,Experimental,W,60,60,0
19,7,Experimental,W,60,60,0
20,7,Experimental,W,40,40,0
21,7,Experimental,W,60,60,0
22,7,Experimental,W,60,60,0
23,7,Experimental,W,60,60,0
24,7,Experimental,W,0,0,0
25,7,Experimental,W,60,60,0
26,7,Experimental,W,0,0,0
27,7,Experimental,W,60,60,0
28,7,Experimental,W,100,40,-60
1,8,Control,M,80,80,0
2,8,Control,M,60,60,0
3,8,Control,M,80,100,20
4,8,Control,M,80,100,20
5,8,Control,M,100,100,0
6,8,Control,M,100,100,0
7,8,Control,M,40,60,20
8,8,Control,M,80,80,0
9,8,Control,M,0,80,80
10,8,Control,M,80,80,0
11,8,Experimental,W,80,80,0
12,8,Experimental,W,100,100,0
13,8,Experimental,W,100,100,0
14,8,Experimental,W,100,100,0
15,8,Experimental,W,40,80,40
16,8,Experimental,W,80,80,0
17,8,Experimental,W,80,80,0
18,8,Experimental,W,100,100,0
19,8,Experimental,W,100,100,0
20,8,Experimental,W,80,80,0
21,8,Experimental,W,100,100,0
22,8,Experimental,W,0,0,0
23,8,Experimental,W,100,100,0
24,8,Experimental,W,40,80,40
25,8,Experimental,W,100,100,0
26,8,Experimental,W,40,40,0
27,8,Experimental,W,100,100,0
28,8,Experimental,W,40,40,0
1,9,Control,M,80,100,20
2,9,Control,M,80,100,20
3,9,Control,M,20,80,60
4,9,Control,M,60,100,40
5,9,Control,M,80,100,20
6,9,Control,M,80,100,20
7,9,Control,M,80,100,20
8,9,Control,M,80,100,20
9,9,Control,M,60,80,20
10,9,Control,M,80,100,20
11,9,Experimental,W,60,60,0
12,9,Experimental,W,100,80,-20
13,9,Experimental,W,100,100,0
14,9,Experimental,W,100,100,0
15,9,Experimental,W,80,80,0
16,9,Experimental,W,80,80,0
17,9,Experimental,W,100,100,0
18,9,Experimental,W,100,100,0
19,9,Experimental,W,60,80,20
20,9,Experimental,W,100,100,0
21,9,Experimental,W,100,100,0
22,9,Experimental,W,60,60,0
23,9,Experimental,W,100,100,0
24,9,Experimental,W,60,40,-20
25,9,Experimental,W,100,100,0
26,9,Experimental,W,60,60,0
27,9,Experimental,W,100,80,-20
28,9,Experimental,W,80,80,0
1,10,Control,M,60,60,0
2,10,Control,M,60,80,20
3,10,Control,M,0,100,100
4,10,Control,M,20,40,20
5,10,Control,M,80,80,0
6,10,Control,M,80,100,20
7,10,Control,M,60,60,0
8,10,Control,M,60,60,0
9,10,Control,M,60,60,0
10,10,Control,M,80,100,20
11,10,Experimental,W,20,20,0
12,10,Experimental,W,60,60,0
13,10,Experimental,W,80,80,0
14,10,Experimental,W,80,80,0
15,10,Experimental,W,80,80,0
16,10,Experimental,W,20,0,-20
17,10,Experimental,W,60,60,0
18,10,Experimental,W,80,80,0
19,10,Experimental,W,60,80,20
20,10,Experimental,W,0,0,0
21,10,Experimental,W,0,0,0
22,10,Experimental,W,20,40,20
23,10,Experimental,W,80,60,-20
24,10,Experimental,W,80,60,-20
